Sample,TP53,BRCA1,EGFR,MYC
P1,5.8,2.4,8.3,2.6
P2,5.5,2.3,8.6,3.1
P3,5.9,2.2,8.2,3.2
P4,6.3,2.0,8.5,4.2
P5,5.4,2.3,7.6,3.6
P6,5.4,2.2,8.9,2.9
P7,6.3,2.3,8.7,3.6
P8,5.9,2.3,8.2,2.8
P9,5.3,2.3,9.1,3.8
P10,5.8,2.1,9.3,3.2
P11,5.3,2.4,7.7,3.4
P12,5.3,2.2,8.3,3.9
P13,5.7,2.5,8.3,2.9
P14,4.6,2.0,8.2,2.8
P15,4.7,2.5,9.2,3.2
P16,5.3,2.2,8.6,3.8
P17,5.0,2.0,8.6,2.8
P18,5.7,2.1,7.5,2.2
P19,5.1,2.1,9.1,3.2
P20,4.8,2.2,8.0,3.6
P21,6.3,2.2,8.8,3.9
P22,5.4,2.0,8.9,3.2
P23,5.6,2.1,9.6,3.2
P24,4.8,2.5,7.9,3.9
P25,5.3,2.5,6.9,2.6
P26,5.6,2.2,8.8,3.2
P27,5.0,2.2,9.8,3.5
P28,5.7,2.2,9.5,3.6
P29,5.2,2.3,8.9,3.2
P30,5.4,2.0,8.4,3.4
P31,5.2,2.1,9.2,2.4
P32,6.5,1.8,8.1,3.1
P33,5.5,2.2,9.0,3.6
P34,5.0,2.3,9.0,3.0
P35,6.0,2.1,9.4,3.4
P36,4.9,2.4,10.4,3.6
P37,5.7,1.9,9.0,3.3
P38,4.6,1.9,8.4,3.5
P39,4.9,2.2,8.7,3.0
P40,5.6,2.3,7.6,3.3
P41,5.9,2.5,8.3,3.6
P42,5.6,2.1,8.5,3.5
P43,5.5,2.3,8.4,3.2
P44,5.4,2.1,8.8,3.5
P45,4.8,2.1,8.2,3.7
P46,5.2,2.3,9.4,2.6
P47,5.3,2.3,8.7,3.9
P48,6.1,1.9,8.7,3.3
P49,5.7,2.4,8.5,3.6
P50,4.7,2.4,8.8,3.9
P51,5.7,2.0,9.2,2.8
P52,5.4,2.2,8.2,3.1
P53,5.2,2.2,8.3,3.3
P54,5.9,2.2,8.5,3.1
P55,6.1,2.1,7.9,4.1
P56,6.0,2.0,8.2,3.1
P57,5.1,2.1,8.4,3.2
P58,5.4,2.4,9.3,3.5
P59,5.7,2.2,8.9,2.9
P60,6.0,2.1,8.8,3.2
P61,5.3,2.3,9.2,3.5
P62,5.5,1.6,8.6,3.3
P63,5.0,2.4,9.0,3.4
P64,4.9,1.8,8.7,3.2
P65,6.0,2.1,8.9,2.8
P66,6.2,1.9,8.4,3.5
P67,5.5,1.9,7.2,4.1
P68,6.1,2.4,8.6,3.4
P69,5.7,2.1,9.6,3.5
P70,5.2,2.2,9.3,3.7
P71,5.7,2.1,9.3,2.9
P72,6.3,2.2,9.5,4.1
P73,5.5,2.2,8.8,3.5
P74,6.3,1.9,8.8,4.1
P75,4.2,2.3,8.3,3.1
P76,6.0,2.1,8.5,4.1
P77,5.6,1.9,9.1,3.7
P78,5.4,2.1,9.5,3.6
P79,5.6,2.4,8.6,3.5
P80,4.6,2.3,8.5,3.3
P81,5.4,2.1,8.7,3.9
P82,5.7,2.1,9.1,3.5
P83,6.3,2.1,7.8,2.6
P84,5.3,2.5,7.3,2.9
P85,5.1,2.2,8.4,3.3
P86,5.3,2.2,8.0,3.5
P87,6.0,2.3,8.4,3.4
P88,5.7,2.2,8.6,3.9
